"#","Name","Atoll","Island","Rooms","Beds","Phone","Fax","Email","Resort Phone","Resort Fax","Resort Email","Operator","Owner/Lesse","Management","State"
"1","Aanugandu Island Resort","Kaafu","Aanugan'du Finolhu and Aanugan'du Huraa","384","768","3339992","","shrikant@atmospherehotelsandresorts.com","4000022","4000022","info@ailafushi@colorsofoblu.com","Promonant Pvt Ltd 
H. Aage, 6th Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Aqua Blue Investments Pvt Ltd 
M. Mirihimaage
3A, Kulhidhoshumagu
Male', Republic of Maldives","Atmosphere Core (BVI) Ltd 
H. Aage, 3rd Floor
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Operating"
"58","Filitheyo Island Resort","Faafu","Filitheyo","125","250","331 7373","332 1862","admin@aaa.com.mv","6740025","6740025","project@aaa.com,mv","A.A.A. & Trading Company Pvt. Ltd.
G. Neem, Majeedhee Magu
Male', Republic of Maldives","A.A.A. & Trading Company Pvt. Ltd.
#17 & 19 Chaandhanee Magu
Male', Republic of Maldives","","Operating"
"59","Finolhu Baa Atoll Maldives","Baa","Kanufushi","168","336","3333644","3315453","dheena@shclawyers.com","6608800","6608800","stay@finolhu.mv","Seaside Finolhu Maldives Pvt Ltd 
6th Floor, H. Aage'
12 Boduthakurufaanu Magu
Male', Republic of Maldives","Seaside Finolhu Maldives Pvt Ltd 
6th Floor, H. Aage'
12 Boduthakurufaanu Magu
Male', Republic of Maldives","-","Operating"
"60","Four Seasons Private Island Maldives at Voavah","Baa","Voavah","11","26","6600888","6600800","gan@hplhotels.com","66 00 888","66 00 888","reservations.mal@fourseasons.com","Landaa Giraavaru Pvt. Ltd. 
M. Lux Lodge, Level 2
Orchid Magu
Male’, Republic of Maldives","Landaa Giraavaru Pvt. Ltd. 
M. Lux Lodge, Level 2
Orchid Magu
Male’, Republic of Maldives","FS Kuda Huraa Hotel Management Pvt. Ltd.
Kuda Huraa, Kaafu Atoll
Republic of Maldives","Operating"
"61","Four Seasons Resort Maldives at Kuda Huraa","Kaafu","Kuda Huraa","112","224","6644888","6644888","reservations.maldives@four-seasons.com","9606600888","","RESERVATIONS.MAL@FOURSEASONS.COM","Four Seasons Hotel & Resorts BVI
(On behalf ofHPL Resorts (Maldives) Pvt. Ltd. 
Aurora Building, 7th Floor, Stadhouderskade 2
1054 Es Amsterdam, Netherlands","HPL Resorts (Maldives) Private Limited.
M. Lux Lodge, 2nd Floor
Orchid Magu
Male', Republic of Maldives","Fs Kuda Huraa Hotel Management Pvt. Ltd. 
c/o Four Seasons Hotels and Resorts Asia Pacific Pte. Ltd, 1 Orchard Sprig Lane #04-01, Tourism Court, Singapore 247729","Operating"
"62","Four Seasons Resort Maldives at Landaa Giraavaru","Baa","Landaa Giraavaru","145","290","3330888","0065 6738 8379
660 0700","reservations.mal@fourseasons.com","6600888","6600888","reservations.mal@fourseasons.com","Landaa Giraavaru Pvt Ltd (FC)
H. #02-1, Millennia Tower, 
Male', Republic of Maldives","Landaa Giraavaru Pvt Ltd (FC)
H. #02-1, Millennia Tower, 
Male', Republic of Maldives","FS Kuda Huraa Hotel Management Pvt Ltd 
Kuda Huraa, Kaafu Atoll
Republic of Maldives","Operating"
"63","Furaveri Maldives","Raa","Furaveri","171","342","3317315","3317723","cfo@furaveri.com","6581111","6581111","reservations@furaveri.com","NAID Investments Pvt Ltd 
M. Newton, 3rd Floor
Dhanbu Goalhi
Male', Republic of Maldives","Ahmed Ibrahim Didi 
Ma. Niyazvilla, 10th Floor
Buruzumagu
Male', Rep. of Maldives","-","Operating"
"64","Fushifaru Maldives","Lhaviyani","Fushifaru","63","126","3331512","3331513","info@fushifaru.com","6620202","6620303","reservations@fushifaru.com","Fushifaru Investments Pvt Ltd 
M. Loobiya, 4th Floor
Ameenee Magu
Male', Republic of Maldives","Fushifaru Investments Pvt Ltd
M. Loobiya, 4th Floor
Ameenee Magu
Male', Republic of Maldives","","Operating"
"65","Gangehi Island Resort","Alifu Alifu","Gangehi","36","72","332 9013","332 9014","info@gangehi.com / info@fushifaru.com","666-0505","666-0505","info@gangehi.com / info@fushifaru.com","Noomadi Resorts Pvt. Ltd.
H. East Light, No.4/A, 4th floor, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Gangehi Invesments Pvt Ltd
H. Dhonveli Thundi, Ground Floor, 
Dhunbugas Magu, 
Male', Republic of Maldives","-","Operating"
"66","Gili Lankanfushi","Kaafu","Lankanfushi","49","98","3336663","","promus@sonevagili.com.mv","664-0304","664-0304","mr.friday@gili-lankanfushi.com","Promus Pvt. Ltd.
2nd Floor, 3/4 Faamudheyri Magu
Male', Republic of Maldives","Transco Pvt Ltd
2nd Floor, H. Marvel
Male', Republic of Maldives","","Operating"
"67","Grand Park Kodhipparu Maldives","Kaafu","Kodhipparu","125","250","6651111","6651122","info@parkhotelgroup.com
raffaele.solferino@parkhotelgroup.com","665 1111","","info.gpkd@parkhotelgroup.com","CES Park Kodhipparu Pvt Ltd 
H. Aage, 6th Floor
Male', Republic of Maldives","CES Park Kodhipparu Pvt Ltd
H. Aage, 6th Floor
Male', Republic of Maldives","","Operating"
"68","Hard Rock Hotel Maldives","Kaafu","Akasdhoo","197","394","+9606651400","","rsvn@hrhmaldives.com","6551400","6551400","info@hrhmaldives.com","Dream Islands Development 2 Pvt. Ltd. 
H. #02-01, Millennia Tower, 10 Ameer Ahmed Magu, Male', Republic of Maldives","Dream Islands Development 2 Pvt. Ltd. 
H. #02-01, Millennia Tower, 10 Ameer Ahmed Magu, Male', Republic of Maldives","","Operating"
"69","Heritance Aarah","Raa","Aarah","158","316","6580222","","mahdy@aitkenspence.lk","6580222","6580222","mahdy@aitkenspence.lk","Cowrie Investment Pvt Ltd 
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Cowrie Investment Pvt Ltd 
H. Thuniya, 6th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","-","Operating"
"70","Hilton Maldives Amingiri Resort & Spa","Kaafu","Kohdhipparu Lagoon","132","264","7776789","","nihad@amin.mv","7300500","7300500","gaurav.thakur@hilton.com","Amingiri Holdings Pvt Ltd 
M. World Dream, 2nd Floor
Handhuvaree Hingun
Male', Republic of Maldives","Amingiri Holdings Pvt Ltd 
M. World Dream, 2nd Floor
Handhuvaree Hingun
Male', Republic of Maldives","Hilton Worldwide Management Ltd 
Maple Court, Central Park, Reeds Crescent, Watford WD244QQ, England","Operating"
"71","Holiday Inn Resort Kandooma Maldives","Kaafu","Kandoomafushi","162","324","3314377","3314378","sales.hikandooma@ihg.com / reservations.hikandooma@ihg.com","6640511","6640511","sales.hikandooma@ihg.com / reservations.hikandooma@ihg.com","Leisure Holidays Pvt Ltd
H. Millennia Tower, #02-01, 10 
Ameer Ahmed Magu, 20026, 
Male', Republic ofMaldives","Kandooma Holdings Pvt Ltd 
H. Aagadhage Building, 5th Floor, 
Boduthakurufaanu Magu, 
Male', Republic of Maldives","Intercontinental Hotels Group (Greater China) Ltd 
Level 54, Hopewell Centre, 
Hong Kong, 183 Queens Road East, China","Operating"
"72","Hondaafushi Island Resort","Haa Dhaalu","Hondaafushi","57","114","3317373","3316016","sales@aaa.com.mv","674-0025","674-0025","hondaafushi@aaa.com.mv","Hondaafushi Island Resort (SP)
Mr. Abdulla Ali 
M. Three A Villa
Fareedhee Magu
Male', Republic of Maldives","Mr. Abdulla Ali
M. Three A Villa
Fareedhee Magu
Male', Republic of Maldives","-","Operating"
"73","Hurawalhi Island Resort","Lhaviyani","Huravalhi","90","180","3326545","3326544","md@champabrothers.com","6622000","","reservations@hurawalhi.com","Champalars Holdings Pvt Ltd 
M. Champa Building, 4th Floor
Kani Dhonmaniku Goalhi
Male', Republic of Maldives","Champalars Holdings Pvt Ltd 
M. Champa Building, 4th Floor
Kani Dhonmaniku Goalhi
Male', Republic of Maldives","","Operating"
"74","Huvafenfushi Maldives","Kaafu","Nakatchafushi","51","102","3323080","3320274","stay@huvafenfushi.com","6644222","6644222","stay@huvafenfushi.com / www.huvafenfushi.com","Nakatchafushi Holdings Pvt. Ltd.  
H. 39, Orchid Magu
Male', Republic of Maldives","Nakatchafushi Holdings Pvt. Ltd.
H. 39, Orchid Magu
Male', Republic of Maldivesv","Nakatchafushi Holdings Pvt. Ltd. 
H. 39, Orchid Magu
Male', Republic of Maldives","Operating"
"75","Inter Continental Maldives Maamunagau","Raa","Maamunagau","97","194","657345250 / 6580500","","gan@hplhotels.com / james.sutcliffe@ihg.com","6580500","","reservations.icmaldives@ihg.com","Leisure Horizons Pvt Ltd 
M. Lux Lodge (2nd Floor) 
Orchid Magu 
Male', Republic of Maldives","Leisure Horizons Pvt Ltd 
M. Lux Lodge (2nd Floor) 
Orchid Magu 
Male', Republic of Maldives","Inter Continental Hotels Group (Greater China) Ltd
230 Victoria Street, # 13-00
Bugis Junction Tower
Singapore 188024","Operating"
"76","JA Manafaru","Haa Alifu","Manafaru","88","176","3344720","3344721","william.harleyfleming@dutco.com","6500400","6500400","vlsd.reyes@jaresorts.com","Jarh Maldives Pvt Ltd 
Marina Building, 7th Floor
Koli Umar Maniku Goalhi
Male', Republic of Maldives","Jarh Maldives Pvt Ltd 
Marina Building, 7th Floor
Koli Umar Maniku Goalhi
Male', Republic of Maldives","","Operating"
"77","Joali Being Bodufushi","Raa","Bodufushi","85","170","3005551","","masoodh@momentum.com.mv","6583100","","info.being@joali.com","Ali Bey Maldives Pvt Ltd
Ma. MF Building, 3rd Floor
Chaandhanee Magu
Male', Republic of Maldives","Ali Bey Maldives Pvt Ltd 
Ma. MF Building, 3rd Floor
Chaandhanee Magu
Male', Republic of Maldives","","Operating"
"78","Joali Muravandhoo","Raa","Muravandhoo","80","160","3305515","","pa@momentum.com.mv","6584400","6584404","masoodh@momentum.com.mv","Ali Bey Maldives Pvt Ltd 
Ma. MF Building, 3rd Floor
Chaandhanee Magu
Male', Republic of Maldives","Ali Bey Maldives Pvt Ltd
Ma. MF Building, 3rd Floor
Chaandhanee Magu
Male', Republic of Maldives","","Operating"
"79","Joy Island","Kaafu","Island 1 Plot of Lagoon","153","306","6626888 / 6649966 / 3016888","","booking@cocoonmaldives.com
info@cocoonmaldives.com","6626888","6626888","alex@cocoonmaldives.com; akbar@akbar.com","Joy Resort Pvt Ltd 
H. Sonary, 2nd Floor,
Boduthakurufaanu Magu,
Male', Republic of Maldives","AB Lagoon Pvt Ltd
H. Sonary, 2nd Floor,
Boduthakurufaanu Magu,
Male', Republic of Maldives","","Operating"
"80","Jumeirah Maldives Olhahali Island","Kaafu","Olhahali","91","182","7731865
7951795","-","lamaan@sandalawyers.com
sama@sandalawyers.com","6682600","-","reservations.jmh@jumeirah.com","Grand Meridian Pvt Ltd 
H. #04-01, Millennia Tower,
10 Ameer Ahmed Magu,
Male', Republic of Maldives","Trifidus Investments Pvt Ltd 
M. Kaneeru Villa, 6th Floor,
Orchid Magu,
Male', Republic of Maldives","Maldives 1 Hospitality Pvt Ltd 
H. Millenia Tower, #02-01,
10 Ameer Ahmed Magu,
Male', Republic of Maldives","Operating"
"81","JW Marriott Kaafu Atoll Island Resort","Kaafu","Hathaafinolhu","86","172","3005515","-","Ibrahim.ishfaaq@momentum.com.mv","665-6666","665-6666","https://www.marriott.com/en-us/hotels/mlejm-jw-marriott-maldives-kaafu-atoll-island-resort/overview/","Bayswater Maldives Pvt Ltd
M. Faamdheyrige Building, 5th floor, Unit C, 
Orchid Magu, 
Male', Republic of Maldives","Bayswater Maldives Pvt Ltd
M. Faamdheyrige Building, 5th floor, Unit C, 
Orchid Magu, 
Male', Republic of Maldives","Marriott Hotels Maldives Pvt Ltd 
H. Millennia Tower, #04-01, 
10 Ameer Ahmed Magu, 
Male', Republic of Maldives","Operating"
"82","JW Marriott Maldives Resort & Spa","Shaviyani","Vagaru","73","146","3006966","3006696","lamaan@suoodanwar.com
shahdy@suoodanwar.com","6545555","6545555","jw.mlejs.rsvn@marriothotels.com","Bon Free Private Limited
H. Aage, Boduthakurufaanu Magu
Male', Republic of Maldives
www.viceroyhotelsandresorts.com","Bon Free Private Limited
H. Aage, Boduthakurufaanu Magu
Male', Republic of Maldives
www.viceroyhotelsandresorts.com","Marriott Hotels Maldives Pvt Ltd 
H. Orchidmaage, 1st Floor
Ameer Ahmed Magu
Male', Republic of Maldives","Operating"
"83","Kagi Maldives Resort and Spa","Kaafu","Kagi","50","100","3326712","-","cfo@champaresorts.com","6640123","6640123","info@kagimaldives.com","Kagi Development Pvt Ltd 
Champa Building, 3rd Floor
Kandi Dhon Maniku Goalhi
Male', Republic of Maldives","Kagi Development Pvt Ltd
Champa Building, 3rd Floor
Kandi Dhon Maniku Goalhi
Male', Republic of Maldives","","Operating"
"84","Kandima Maldives","Dhaalu","Kadinma","272","544","7980082","","imdad.mohamed@pulseresorts.com","676 0077","676 0077","mykindofplace@kandima.com","Kandinma Holdings Pvt Ltd 
M. Kaneeru Villa, 04th Floor
Orchid Magu
Male', Republic of Maldives","Kandinma Holdings Pvt Ltd 
M. Kaneeru Villa, 04th Floor
Orchid Magu
Male', Republic of Maldives","","Operating"
"85","Kandolhu Maldives","Alifu Alifu","Kandholhudhoo","30","60","6680789 / 6680790
3323080","6680788
3333618","www.kandholhu.com","668 0790","668 0790","info@kandolhu.com","Kandholhudhoo Holdings Pvt Ltd 
39 Orchid Magu, 
Male', Republic of Maldives","Kandholhudhoo Island Investments Pvt. Ltd. 
39 Orchid Magu,
Male', Republic of Maldives","-","Operating"
"86","Komandoo Island Resort","Lhaviyani","Komandoo","65","130","662 1010","39064706396
332 6544","main@ctnt.com","662 1010","662 1010","reservations@komandoo.com","Komandoo Holdings Pvt. Ltd. 
CHP-3
Kandi Dhon Manik Goalhi
Male', Republic of Maldives","Komandoo Holdings Pvt. Ltd.
CHP-3
Kandi Dhon Manik Goalhi
Male', Republic of Maldives","","Operating"
"87","Kuda Villingili Resort Maldives","Kaafu","Kudavillingili","99","198","3322660","","nahiz.ali@mfarhotels.com","4000900","","reservations@kudavillingili.com","MFAR Kudavillingili Pvt Ltd 
H. Magma, 3rd Floor, 
Nasheed & Co LLP,
Sikka Goalhi, 
Male', Republic of Maldives","MFAR Kudavillingili Pvt Ltd 
H. Magma, 3rd Floor, 
Nasheed & Co LLP,
Sikka Goalhi, 
Male', Republic of Maldives","-","Operating"
"88","Kudadoo Maldives Private island","Lhaviyani","Kudadhoo","17","34","3386545","3326544","aslam@ctnt.com","6622000","6622000","reservations@kudadoo.com","Champalars Holdings Pvt Ltd
M. Champa Building, 4th Floor
Kandi Dhonmaniku Goalhi
Male', Republic of Maldives","Champalars Holdings Pvt Ltd
M. Champa Building, 4th Floor
Kani Dhonmaniku Goalhi
Male', Republic of Maldives","-","Operating"
"89","Kudafushi Resort & Spa","Raa","Kudafushi","107","214","658-0080","","reservations@kudafushiresort.com","7774982","7774982","ali@abnmaldives.com","Silver Drift Maldives Pvt Ltd
H. Eggamuge Aage, 
Karankaa Magu, 
Male', Republic of Maldives","Ali Zahir 
H. Iruvelige
Moonimaa Hingun
Male', Republic of Maldives","-","Operating"
"90","Kuredhivaru Resort and Spa","Noonu","Kuredhivaru","111","222","3322999","","m.gruszecki@zenresorts.site
r.rahman@zenresort.site","656-3000","656-3000","Resort.Kuredhivaru.Reservations@movenpick.com","Zen Resort Pvt. Ltd 
H. Dhoorihaa, 5th floor, 5B, 
Kalaafaanu Hingun, 
Male', Republic of Maldives","Zen Resort Pvt. Ltd
H. Dhoorihaa, 5th floor, 5B, 
Kalaafaanu Hingun, 
Male', Republic of Maldives","-","Operating"
"91","Kuredu Island Resort","Lhaviyani","Kuredu","389","778","3326545","3326544","main@ctnt.com","662-0337","662-0337","info@kuredu.com / reservations@kuredu.com","Kuredhu Holdings (Pvt) Ltd. 
M. Champa Building, 4th Floor, Kandidhonmaniku Goalhi, Male', Republic ofMaldives","Kuredhu Holdings (Pvt) Ltd. 
M. Champa Building, 4th Floor, Kandidhonmaniku Goalhi, Male', Republic ofMaldives","","Operating"
"92","Kurumba Maldives","Kaafu","Vihamanaafushi","181","362","3323080","3333618","kurumba@kurumba.com.mv","6643885","","kurumba@kurumba.com","Vihamanaafushi Holdings Pvt Ltd (C-0448/2011)
39, Orchid Magu
Male'City, Republic of Maldives","Mr. Mohamed Umar Manik  (A053530)
M. Rukkara
Male', Republic of Maldives","","Operating"
"93","Le Méridien Maldives Resort and Spa","Lhaviyani","Thilamaafushi and Bodufinolhu","157","314","3346439","","philip@asters.com.mv","4008888","4008888","reservations.maldives@lemeridien.com","CT At Thilamaafushi Pvt Ltd 
H. Asters Building
Ameer Ahmed Magu
Male', Republic of Maldives","CT At Thilamaafushi Pvt Ltd 
H. Asters Building
Ameer Ahmed Magu
Male', Republic of Maldives","Marriott Hotels Maldives Pvt Ltd
H. Millenia Tower, #04-01
10 Ameer Ahmed Magu
Male', Republic of Maldives","Operating"
"94","Lily Beach Resort","Alifu Dhaalu","Huvahendhoo","125","250","331 7464","331 7466","admin@lilyhotels.com

Website: www.lilybeachmaldives.com","6680013","6680013","admin@lilyhotels.com","Lily Hotels Pvt. Ltd. 
H. Fasmeeru Building, 2nd Floor,
Boduthakurufaanu Magu,
Male', Republic of Maldives","Lily Hotels Pvt. Ltd. 
H. Fasmeeru Building, 2nd Floor,
Boduthakurufaanu Magu,
Male', Republic of Maldives","-","Operating"
"95","Lux* South Ari Atoll, Maldives","Alifu Dhaalu","Dhidhdhoofinolhu","193","386","331 2204","331 7508","reservation@luxresorts.com / stay@luxmaldivesresort.com","668-0901","668-0901","reservation@luxresorts.com / stay@luxmaldivesresort.com","White Sands Resort and Spa Pvt Ltd
Jazeera Building, 5th Floor
Boduthakurufaanu Magu
Male', Republic of Maldives","Ari Beach Co Pvt Ltd
M.Kinbidhooge
Izzudheen Magu
Male', Republic of Maldives","","Operating"
"96","Maayafushi Tourist Resort","Alifu Alifu","Maayafushi","75","150","3323214","3322516","manager.maleoffice@nakairesorts.com","6660588","6660588","maayafushi@nakairesorts.com / reservations@maayafushi.com","Maayafushi Resort Management Pvt Ltd 
M. Omadu Fanu Building, 2nd Floor 
Haveeree Hingun
Male', Republic of Maldives","I.R.T.S Private Limited
M.Omadu Fanu Building, 2nd Floor
Haveeree Hingun
Male', Republic of Maldives","","Operating"
"97","Mabinhura by Jawakara Islands Maldives","Lhaviyani","Maabinhuraa","212","424","7785035","","aslam@ctnt.com","6629999","6629999","reservations@jawakara.com / https://jawakara.com/","Kuredu Holdings Private Limited 
M. Champa Building, 4th Floor
Kandidhonmaniku Goalhi 
Male', Republic of Maldives","Kuredu Holdings Private Limited 
M. Champa Building, 4th Floor
Kandidhonmaniku Goalhi 
Male', Republic of Maldives","","Operating"
"98","Machchafushi Island Resort & Spa Maldives, The Centara Collection","Alifu Dhaalu","Machchafushi","112","224","330 6566
 333 3644","331 5453
332 3463","ahrdcirm@chr.co.th","668 8000","668 8000","cirm@chr.co.th","R.M.L Leisure Pvt. Ltd.
c/o Shah, Hussain & Co.
2nd Floor, (West Wing) H. Aage
12, Boduthakurufaanu Magu
Male', Republic of Maldives","Sioux Investment Pvt. Ltd.
2nd Floor, Filla Building 
Boduthakurufaanu Magu
Male', Republic of Maldives","Centara International Management Co, Ltd
 (manager since 11th Oct 2009)","Operating"
"99","Madifushi Private Island","Meemu","Madifushi","88","174","6720000","","stay@madifushiprivateisland.com","6720000","","stay@madifushiprivateisland.com","Maldives Inflight Catering Pte Ltd
Velana International Airport
Hulhule' 22000, Republic of Maldives","Maldives Inflight Catering Pte Ltd
Velana International Airport
Hulhule' 22000, Republic of Maldives","","Operating"
"100","Makunudu Island","Kaafu","Makunudhoo","36","72","3324658","3325543","sunland@dhivehinet.net.mv","664 6464","664 6464","info@makunudu.com","Sunland Travel (Pvt) Ltd.
G.Shafaq,7th Floor
Rah Dhebai Magu
Male', Republic of Maldives","Sunland Travels (Pvt) Ltd.
H.Millenia
Ameeru Ahmed Magu
Male', Republic of Maldives
sunland@dhivehinet.net.mv","","Operating"
"101","Malahini Kuda Bandos","Kaafu","Kuda Bandos","82","164","6644556","","social@malahini.mv","6644556","6644556","reservations@malahini.mv","Malahini Holdings Pvt Ltd 
H. Jazeera, 03rd Floor, No. 15
Boduthakurufaanu Magu
Male', Republic of Maldives","Malahini Holdings Pvt Ltd 
H. Jazeera, 03rd Floor, No. 15
Boduthakurufaanu Magu
Male', Republic of Maldives","","Operating"
"102","Medhufushi Island Resort","Meemu","Medhufushi","120","240","7785861 / 6720026","-","ereservations@aaaresorts.com","6720026","6720026","info@medhufushiisland.com / reservations@medhufushiisland.com","Medhufushi Investment Pvt Ltd 
G. Neem, 
Majeedhee Magu, 
Male', Republic of Maldives","Medhufushi Investment Pvt Ltd 
G. Neem, 
Majeedhee Magu, 
Male', Republic of Maldives","-","Operating"
"103","Meeru Maldives Resort Island","Kaafu","Meerufenfushi","284","568","3314149","3314150","cfo@champaresorts.com
reservations@meeru.com","6645946","6645946","reservations@meeru.com","KASA Holdings Pvt. Ltd.
M. Champa Building, 3rd Floor
Kandi Dhonmaniku Goalhi
Male', Republic of Maldives","KASA Holdings Pvt. Ltd.
M. Champa Building, 3rd Floor
Kandi Dhonmaniku Goalhi
Male', Republic of Maldives","-","Operating"
"104","Melia Whale Lagoon Maldives","Alifu Dhaalu","Bodufinolhu","100","200","7797779 /  3013200","Website: https://www.melia.com/","shahdy@sandalawyers.com","6683000","6683000","reservations.meliawhalelagoon@melia.com","ASB Hotel Properties Maldives Pvt Ltd 
H. #02-01, Millennia Tower, #02-001
Ameer Ahmed Magu
Male', Republic of Maldives","ASB Hotel Properties Maldives Pvt Ltd 
H. #02-01, Millennia Tower, #02-001
Ameer Ahmed Magu
Male', Republic of Maldives","-","Operating"
"105","Meyyafushi Maldives","Lhaviyani","Meyyafushi","88","176","3331512 / 3331513","Website: www.meyyafushi.com","info@muni.com.mv","6620303","6620303","info@meyyafushi.com","Meyyafushi Investments Private Limited
M. Loobiya , 5th Floor,
Ameenee Magu, 
Male', Republic of Maldives","Meyyafushi Investments Private Limited
M. Loobiya , 5th Floor,
Ameenee Magu, 
Male', Republic of Maldives","-","Operating"
"106","Milaidhoo Island Maldives","Baa","Milaidhoo","50","100","3323080","3320274","iyaz.waheed@universalenterprises.com","660 77 88","","welcome@milaidhoo.com","Universal Enterprises Pvt Ltd 
39, Orchid Magu
Male', Republic of Maldives","Universal Enterprises Pvt Ltd 
39, Orchid Magu
K.Male', Republic of Maldives","","Operating"
"107","Nala Maldives by Jawakara","Lhaviyani","Innahuraa","42","84","6623434 / 7292415","Website:  www.jawakara.com","reservations@jawakara.com","6620000","6620000","reservations@jawakara.com","Champalars Holdings Pvt Ltd 
M. Champa Building, 4th Floor, 
Male', Republic of Maldives","Champalars Holdings Pvt Ltd 
M. Champa Building, 4th Floor, 
Male', Republic of Maldives","-","Operating"
"108","NH Collection Maldives Havodda Resort","Gaafu Dhaalu","Havodda","120","240","3005518","3005516","samantha@crystalplazaresorts.com","684-4888","684-4888","havodda@amari.com","Crystal Plaza Resorts Pvt Ltd 
2nd Floor, MF Building
Chaandhanee Magu
Male', Republic of Maldives","Crystal Plaza Resorts Pvt Ltd 
2nd Floor, MF Building
Chaandhanee Magu
Male', Republic of Maldives","Minor Hotels Group (Maldives) Pvt Ltd
Anantara Kihavah Villas
Kihavah Huravalhi, Baa Atoll
Republic of Maldives","Operating"
"109","NH Collection Maldives Reethi Resort","Baa","Fonimagoodhoo","109","218","7988638","-","manal@salihshihab.co
edarmawan@aresmgmt.com
thchua@aresmgmt.com","6602626","6602626","info@reethibeach.com / website: https://www.reethibeach.com/","Hanifaru Holdings Pvt Ltd 
H. Orchidmaage, Level 2, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Hanifaru Holdings Pvt Ltd 
H. Orchidmaage, Level 2, 
Ameer Ahmed Magu, 
Male', Republic of Maldives","Minor Hotel Group (Maldives) Pvt Ltd 
Anantara Kihavah Villas, 
Kihavah Huravalhi, Baa Atoll, 
Republic of Maldives","Operating"
"110","nH Maldives Kuda Rah Resort","Alifu Dhaalu","Kudarah","51","102","6680000","6681000","rm.kudarah@amayaresorts.com","6 6 80000","6 6 80000","reservations.kudarah@amayaresorts.com","Luxury Resort Pvt Ltd 
G. Thoanee Asseyri, Ground Floor, 
Male', Republic of Maldives","Luxury Resort Pvt Ltd 
G. Thoanee Asseyri, Ground Floor, 
Male', Republic of Maldives","Minor Hotel Group (Maldives) Private Limited
Anantara Kihavah Villas, B. Kihavah Huravalhi, Republic of Maldives","Operating"
"111","Nika Island Resort and Spa","Alifu Alifu","Kudafolhudhoo","52","104","7771643
6660516
3314541","3325097","nika_htl@dhivehinet.net.mv","6660516","6660516","reservation@nikaisland.com.mv","Nika Maldives Pvt.Ltd. 
G. Nafaa, Raadhafathi Hingun
M. West House, Chambeylee Magu
Male', Republic of Maldives","Nika Maldives Pvt.Ltd. 
M. West House, Chambeylee Magu
Male', Republic of Maldives
nika_htl@dhivehinet.net.mv","-","Operating"
"112","Niva Dhigali Maldives","Raa","Dhigali","181","362","3323080","3333618","info@coraledge.com.mv","6586060","6586060","info@dhigali.com","Coral Edge Pvt Ltd 
M. Rukkara, Fulooniyaa Magu, 
Male', Republic of Maldives","Coral Edge Pvt Ltd
M. Rukkara, Fulooniyaa Magu, 
Male', Republic of Maldives","","Operating"
"113","Niva Kuramathi Maldives","Alifu Alifu","Kuramathi","395","790","3323080","3333618","iyaz.waheed@universalenterprises.com","6660527","6660527","info@kuramathi.com","Universal Enterprises Pvt. Ltd. 
H. 39, Orchid Magu
Male', Republic of Maldives","Universal Enterprises Pvt. Ltd. 
H. 39, Orchid Magu
Male', Republic of Maldives","-","Operating"
"114","Niva Velassaru Maldives","Kaafu","Velassaru","129","258","3323080
6643042","3320274
3322678","sales@unient.com.mv","6643041","6643041","reservations@velassaru.com / info@velassaru.com","Universal Enterprises Ltd.
39, Orchid Magu
Male', Republic of Maldives","Universal Enterprises Ltd.
39, Orchid Magu
Male', Republic of Maldives
sales@unient.com.mvv","-","Operating"
"115","Niyama Maldives","Dhaalu","Embudhufushi and Olhuveli","139","278","3005552","3005553","reservations@niyama.com
info.pniy@niyama.com","6762828","654-6666","reservations@niyama.com / info.pniy@niyama.com","O Plus E Holding Pvt. Ltd
H. Meerubahuruge Aage, 1st Floor
Ameeru Ahmed Magu
Republic of Maldives","O Plus E Holding Pvt. Ltd
H. Meerubahuruge Aage, 1st Floor
Ameeru Ahmed Magu
Republic of Maldives","Minor International (Labuan) Limited 
Level 5 (A1) Main Office Tower,
Financial Park Labuan, Jalan Merdeka 8700
F.T. Labuan Malaysia","Operating"
"116","Noku Maldives Vignette Collection","Noonu","Kudafunafaru","50","100","3013200","","shahdy@suoodanwar.com","656 2020","656 2020","info@nokuhotels.com","Roxy Maldives Resort & Spa Pvt Ltd 
H. Millenia Tower, #02-01
10 Ameer Ahmed Magu
Male', Republic of Maldives","Roxy Maldives Resort & Spa Pvt Ltd 
H. Millenia Tower, #02-01
10 Ameer Ahmed Magu
Male', Republic of Maldives","Sustainable Luxury Maldives Pvt Ltd
M. Lux Lodge
Orchid Magu
Male', Republic of Maldives","Operating"
"117","Nooe Maldives Kunavashi","Vaavu","Kunaavashi","50","100","9333355","","simon.douthett@laviehotels.com","","","","C.J.L Investments Pvt Ltd 
M. Chandhaneege, 3rd Floor
Alhivilaa Magu
Male', Republic of Maldives","Satin Seas Pvt Ltd 
M. Honey Dew, 3rd Floor
Izzuddheen Magu
Male', Republic of Maldives","La Vie Hotels & Resorts (Maldives) Pvt Ltd 
H. Aage (6th Floor)
Boduthakurufaanu Magu
Male', Republic of Maldives","Operating"
